City,Label,Month,Year,Date,Day of Week,Area,SQKM,Count_000,Count_010,Count_015
Kyiv,mar_2020_20,3,2020,3/20/2020 9:06,4,0.010504532,79.32724924,90392,17765,9033
Kyiv,mar_2022_08,3,2022,3/8/2022 9:13,1,0.000834721,6.600796656,33,0,0
Kyiv,mar_2022_10,3,2022,3/10/2022 9:38,3,0.071277588,519.1290996,261233,59326,30435
Kyiv,mar_2022_11,3,2022,3/11/2022 9:00,4,0.055392634,423.6408606,157904,19519,5869
Kyiv,mar_2022_14,3,2022,3/14/2022 8:50,0,0.054915021,420.0543985,149348,18937,8819
Kyiv,mar_2022_18,3,2022,3/18/2022 9:05,4,0.010736618,78.86583733,115018,30287,18124
Kyiv,mar_2022_19,3,2022,3/19/2022 9:05,5,0.057305481,423.0997935,310383,60973,27493
Kyiv,mar_2022_21,3,2022,3/21/2022 9:32,0,0.003638071,26.98363689,20413,4117,2007
Kyiv,mar_2022_25,3,2022,3/25/2022 8:47,4,0.008226412,63.18488961,6218,715,213
Kyiv,mar_2022_31,3,2022,3/31/2022 8:58,3,0.042612502,327.6809552,581812,152767,105233
Kyiv,may_2022_09,5,2022,5/9/2022 9:28,0,0.002458093,18.85805889,13381,4479,2686
Kyiv,may_2022_12,5,2022,5/12/2022 9:18,3,0.02510582,194.366813,460995,181728,122384
Kyiv,oct_2021_11,10,2021,10/11/2021 9:03,0,0.025352814,190.7677537,577763,185523,122015
Kyiv,oct_2021_12,10,2021,10/12/2021 9:19,1,0.007109424,54.23969273,27106,7421,4714
Kyiv,oct_2021_15,10,2021,10/15/2021 8:47,4,0.011126649,86.048231,60015,18694,10337
Kyiv,oct_2021_31,10,2021,10/31/2021 9:25,6,0.042504965,330.633298,263700,83349,44882
Kyiv,sep_2020_26,9,2020,9/26/2020 9:05,5,0.029294381,227.7526666,744446,178417,110982
Kyiv,sep_2020_28,9,2020,9/28/2020 8:53,0,0.019039734,143.9384522,115639,38928,21329
Kyiv,sep_2021_07,9,2021,9/7/2021 9:14,1,0.006551921,49.911291,67292,25189,16537
Luhansk,apr_2020_02,4,2020,4/2/2020 8:47,3,0.015526764,120.980643,36740,2635,742
Luhansk,apr_2020_12,4,2020,4/12/2020 8:13,6,0.005867931,46.34571146,36584,3437,765
Luhansk,apr_2020_13,4,2020,4/13/2020 8:49,0,0.007435031,59.03459879,13031,2491,1283
Luhansk,apr_2020_19,4,2020,4/19/2020 8:21,6,0.013084929,104.2799882,218,15,2
Luhansk,apr_2020_26,4,2020,4/26/2020 8:24,6,0.00534618,42.07934463,16370,2563,1501
Luhansk,apr_2022_19,4,2022,4/19/2022 8:26,1,0.008526196,67.88501298,8598,1338,844
Luhansk,aug_2020_03,8,2020,8/3/2020 8:43,0,0.005956393,47.03729517,10204,1174,490
Luhansk,aug_2020_05,8,2020,8/5/2020 8:42,2,0.006391174,50.55634368,9438,1708,882
Luhansk,dec_2019_16,12,2019,12/16/2019 8:24,0,0.042044895,333.6786293,124658,5482,996
Luhansk,feb_2019_24,2,2019,2/24/2019 9:14,6,0.005524891,43.45369695,4849,479,99
Luhansk,feb_2021_17,2,2021,2/17/2021 8:18,2,0.014319744,111.4963079,44851,5332,658
Luhansk,feb_2022_13,2,2022,2/13/2022 8:36,6,0.002971888,23.19247113,25335,3598,939
Luhansk,feb_2022_19,2,2022,2/19/2022 8:32,5,0.002080635,16.42484611,26029,1866,381
Luhansk,feb_2022_20,2,2022,2/20/2022 8:18,6,0.004473514,35.46012958,26742,1474,122
Luhansk,jan_2020_02,1,2020,1/2/2020 8:22,3,0.013454438,107.6853461,54655,4441,612
Luhansk,jan_2021_16,1,2021,1/16/2021 8:17,5,0.023467529,185.2588574,39248,2613,808
Luhansk,jul_2019_22,7,2019,7/22/2019 8:35,0,0.012806388,100.016844,51099,3186,832
Luhansk,jul_2020_04,7,2020,7/4/2020 8:22,5,0.008468345,66.0241187,24268,1318,220
