City,Label,Month,Year,Date,Day of Week,Area,SQKM,Count
Alchevsk,apr_2021_25,4,2021,25/04/2021 8:33,6,0.001825256,14.52729606,147
Alchevsk,apr_2022_27,4,2022,27/04/2022 8:23,2,0.015232378,118.8415045,1090
Alchevsk,aug_2019_24,8,2019,24/08/2019 8:22,5,0.018146903,139.2116062,183
Alchevsk,aug_2020_23,8,2020,23/08/2020 8:31,6,0.000767016,6.056077517,22
Alchevsk,aug_2021_07,8,2021,07/08/2021 8:28,5,0.017317813,131.9780252,1354
Alchevsk,aug_2021_09,8,2021,09/08/2021 8:42,0,0.007148122,56.16891518,410
Alchevsk,aug_2021_25,8,2021,25/08/2021 8:53,2,0.003297457,26.08595062,56
Alchevsk,dec_2019_02,12,2019,02/12/2019 8:39,0,0.016528253,127.5652283,7
Alchevsk,dec_2019_16,12,2019,16/12/2019 8:24,0,0.018817478,143.2770685,1
Alchevsk,dec_2021_20,12,2021,20/12/2021 8:42,0,0.018668104,142.7408636,9
Alchevsk,dec_2021_22,12,2021,22/12/2021 8:02,2,0.010521569,80.5834194,3
Alchevsk,feb_2020_10,2,2020,10/02/2020 8:50,0,0.014618923,116.4903212,234
Alchevsk,feb_2021_23,2,2021,23/02/2021 8:28,1,0.006998778,55.44427587,160
Alchevsk,feb_2022_13,2,2022,13/02/2022 8:37,6,0.000674926,5.367258178,23
Alchevsk,jan_2022_08,1,2022,08/01/2022 8:43,5,0.013371279,103.9293343,80
Alchevsk,jan_2022_21,1,2022,21/01/2022 8:24,4,0,43.82129062,0
Alchevsk,jul_2019_03,7,2019,03/07/2019 8:37,2,0.008032116,63.28444799,562
Alchevsk,jul_2019_28,7,2019,28/07/2019 8:53,6,0.011838998,91.12329846,738
Alchevsk,jul_2019_29,7,2019,29/07/2019 8:40,0,0.000656345,5.218070317,10
Alchevsk,jul_2020_26,7,2020,26/07/2020 8:11,6,0.01790232,137.389359,140
Alchevsk,jul_2021_02,7,2021,02/07/2021 8:42,4,0.002546804,19.98269604,24
Alchevsk,jul_2021_10,7,2021,10/07/2021 8:48,5,0.003971231,30.88270381,438
Alchevsk,jul_2021_12,7,2021,12/07/2021 8:24,0,0.012993645,102.217667,2589
Alchevsk,jul_2021_27,7,2021,27/07/2021 8:27,1,0.008589777,68.42676578,354
Alchevsk,jul_2022_15,7,2022,15/07/2022 8:43,4,0.001870423,14.59009213,40
Alchevsk,jun_2021_27,6,2021,27/06/2021 8:26,6,0.008211033,64.74711425,18
Alchevsk,jun_2021_30,6,2021,30/06/2021 8:41,2,0.00669431,53.05568244,382
Alchevsk,jun_2022_12,6,2022,12/06/2022 8:15,6,0.015953753,123.7073686,789
Alchevsk,mar_2019_05,3,2019,05/03/2019 8:53,1,0.006908367,54.01805456,6
Alchevsk,mar_2019_14,3,2019,14/03/2019 9:01,3,0.016373708,126.3661619,48
Alchevsk,may_2019_29,5,2019,29/05/2019 8:27,2,0.018715287,143.2771661,235
Alchevsk,may_2021_29,5,2021,29/05/2021 8:25,5,0.007515522,59.51139759,1607
Alchevsk,may_2021_31,5,2021,31/05/2021 8:21,0,0.007008187,55.53812982,334
Alchevsk,may_2022_06,5,2022,06/05/2022 8:22,4,0.016888847,130.3128263,3516
Alchevsk,nov_2021_07,11,2021,07/11/2021 8:26,6,0.015287336,118.1298731,258
Alchevsk,nov_2021_18,11,2021,18/11/2021 8:21,3,0.004741924,37.72567803,1
Alchevsk,oct_2019_09,10,2019,09/10/2019 8:19,2,0.00865802,67.22795098,253
Alchevsk,oct_2020_15,10,2020,15/10/2020 8:26,3,0.001328357,10.29148111,4
Alchevsk,oct_2020_20,10,2020,20/10/2020 8:44,1,0.007382596,58.00489289,501
Alchevsk,oct_2021_21,10,2021,21/10/2021 8:53,3,0.000768827,5.919195986,6
Alchevsk,sep_2019_12,9,2019,12/09/2019 8:55,3,0.018817478,143.2770739,1551
Alchevsk,sep_2020_20,9,2020,20/09/2020 8:48,6,0.011292847,90.64559436,179
Alchevsk,sep_2020_24,9,2020,24/09/2020 8:46,3,0.001818489,14.5136971,11
Alchevsk,sep_2021_08,9,2021,08/09/2021 8:42,2,0.00520694,41.03708117,658
Berdychiv,feb_2019_21,2,2019,21/02/2019 9:35,3,0.007794695,58.47791403,149
Berehove,apr_2020_20,4,2020,20/04/2020 9:25,0,0.019384286,150.2921422,82
Berehove,aug_2022_04,8,2022,04/08/2022 10:00,3,0.010771064,85.72752935,78
Berehove,jan_2022_09,1,2022,09/01/2022 9:46,6,0.022278124,170.4729041,3
Berehove,jul_2021_17,7,2021,17/07/2021 9:40,5,0.013431443,112.5705458,444
Berehove,jul_2021_18,7,2021,18/07/2021 9:38,6,0.011073847,87.25163262,766
Berehove,jul_2021_22,7,2021,22/07/2021 9:46,3,0,3.977197612,0
Berehove,jul_2022_10,7,2022,10/07/2022 9:52,6,0.009476026,75.24901843,58
Berehove,jul_2022_16,7,2022,16/07/2022 9:24,5,0.003973435,32.15282026,29
Berehove,jun_2019_10,6,2019,10/06/2019 9:25,0,0.013751299,105.9274544,132
Berehove,mar_2022_03,3,2022,03/03/2022 9:57,3,0,165.7562063,0
Berehove,mar_2022_27,3,2022,27/03/2022 9:33,6,0.017377508,136.442037,499
Berehove,may_2021_21,5,2021,21/05/2021 9:22,4,0.004379726,34.95766183,37
Berehove,may_2021_24,5,2021,24/05/2021 9:19,0,0.004195722,33.17732756,32
Berehove,may_2022_03,5,2022,03/05/2022 9:51,1,0.000742848,5.981492377,8
Berehove,may_2022_12,5,2022,12/05/2022 9:54,3,0.009967644,79.82373407,148
Berehove,may_2022_14,5,2022,14/05/2022 9:46,5,0.017720583,142.8004856,109
