Longitude	Latitude
26.634236907788036	48.271748878307015
26.622923334537536	48.26433486513009
26.6341965214009	48.27177765662115
26.62885205616952	48.26626481082122
26.621038636471052	48.264160396600694
26.63428806387841	48.27166793929854
26.629743249112384	48.25608628084348
26.62975940366724	48.25575712887566
26.621095177413046	48.26415679931143
26.621240568406748	48.264178383047025
26.625801537727632	48.26447336076683
26.634341912394596	48.27172729457142
26.62972978698334	48.2560323215045
26.624336858087396	48.26448774992389
26.62976748094467	48.25589382586776
26.62159866103938	48.26417298711313
26.62315488315713	48.264367240733485
26.629719017280102	48.25596397300844
26.62599000753428	48.26522699286802
26.62156096707805	48.264041686054924
26.62097671067744	48.2641496047329
26.629805174905997	48.25616182391806
