"Longitude","Latitude"
26.0588566931046,47.9908921412213
26.0598128714599,47.9904838130754
26.0596789529227,47.9905773508005
26.0588084824312,47.9909550993054
26.0593575484336,47.9909227208621
26.0590254304614,47.9909029340357
26.059759304045,47.9905305819379
26.0587602717578,47.9910162585872
26.0589156172609,47.990850768766
26.0594084374777,47.9908669579876
26.0591406004034,47.9908831472092
26.0599735737045,47.9905647591836
26.05988518747,47.9904280502009
26.0589316874854,47.9910720214617
26.05909238973,47.9909191232573
26.0588888335535,47.9910054657727
26.0595986018005,47.9906349124774
26.058987933271,47.9910144597848
26.0598985793237,47.9906546993039
26.0601289192076,47.9906313148726
26.0592102380427,47.9908489699635
26.0598610821333,47.9906816813399
26.0586879557478,47.9910558322401
26.0590415006859,47.9909568981078
26.0583585161463,47.991095405893
26.0595343209026,47.9906636933159
26.0155715435236,47.9707617435117
26.0601128489831,47.9906780837351
26.0600137492657,47.9904370442129
26.0592236298964,47.9908057987058
26.0600378546023,47.9908219879275
26.0579353335689,47.989379348399
26.0592932675357,47.9909694897247
26.0594298644436,47.9906924741544
26.0601503461736,47.990473020261
26.0600512464561,47.9907500358313
26.0600807085342,47.9907914082866
26.0586718855233,47.9911008023002
26.0599601818508,47.9908237867299
26.0571934248731,47.990077283732
