location_name,snapshot,AOI_area_sqkm,AOI_area_covered_sqkm,AOI_area_covered_perc,Perc_area_covered_by_feature,N_features_in_img,Image_resolution,Number_of_img_tiles_downloaded,Stitched_img_width,Stitched_img_height,Total_downloaded_imagery_MB,Stitched_img_file_size_MB,Geotiff_img_file_size_MB
Kyiv,dec_2019_31,519.1331585,359.3045043,0.692123973,0.692,1,0.4,642,43055,68134,334.5363312,2918.529987,362.642211
Kyiv,mar_2020_03,519.1331585,265.4983483,0.511426296,0.511,1,0.3,544,49575,89544,382.6313095,3013.176266,414.2061863
Kyiv,mar_2020_20,519.1331585,79.32724924,0.152807132,"0.135,0.013,0.005",3,0.4,428,39626,66185,65.00302505,554.1877899,84.6765337
Kyiv,sep_2020_26,519.1331585,227.7526666,0.43871724,0.439,1,0.3,496,49575,63636,281.5919037,2279.183974,301.5370512
Kyiv,sep_2020_28,519.1331585,143.9384522,0.27726692,"0.266,0.011",2,0.5,188,21107,38908,83.78158569,701.3396873,91.90698242
Kyiv,jan_2021_31,519.1331585,125.9842823,0.242682018,0.243,1,0.5,139,30436,21769,48.44859123,418.9678812,51.72560883
Kyiv,sep_2021_07,519.1331585,49.911291,0.096143523,0.096,1,0.4,225,22987,28746,35.51029301,305.1269455,39.69822216
Kyiv,oct_2021_11,519.1331585,190.7677537,0.367473644,0.367,1,0.3,381,39127,84341,284.6468115,2442.37251,314.3948879
Kyiv,oct_2021_12,519.1331585,54.23969273,0.104481272,0.104,1,0.3,204,31953,41572,82.85275936,687.5872955,91.59525013
Kyiv,oct_2021_15,519.1331585,86.048231,0.165753679,0.166,1,0.5,104,24230,18691,49.91674137,458.7391262,54.33314228
Kyiv,oct_2021_31,519.1331585,330.633298,0.636894971,"0.594,0.042",2,0.5,296,43786,37363,171.6095247,1542.787772,187.5845337
Kyiv,feb_2022_20,519.1331585,84.13581481,0.162069815,0.162,1,0.5,233,14072,36967,55.72260666,448.3815384,61.26820374
Kyiv,feb_2022_22,519.1331585,110.232364,0.212339286,0.212,1,0.5,156,18767,33479,64.45735264,542.2492332,70.22242069
Kyiv,may_2022_09,519.1331585,18.85805889,0.036326054,0.036,1,0.5,151,11114,11078,13.20072651,107.206768,14.45648956
Kyiv,may_2022_12,519.1331585,194.366813,0.374406469,0.374,1,0.4,396,38104,37945,151.3829174,1244.365836,164.046278
Kyiv,jun_2022_30,519.1331585,233.1371131,0.449089235,0.449,1,0.5,201,35188,31147,108.0192785,937.7316303,116.8026028
Kyiv,jul_2022_22,519.1331585,136.7030039,0.263329363,0.263,1,0.3,283,40377,46700,252.9525728,1962.907825,276.541955
Kyiv,jul_2022_28,519.1331585,38.84706427,0.074830636,0.075,1,0.3,395,48922,16905,84.32597351,643.2186203,94.03589153
Kyiv,aug_2022_24,519.1331585,206.4571079,0.39769586,0.398,1,0.49,215,32705,38910,137.755518,1122.903176,151.5477276
Lviv,feb_2022_14,204.7955713,203.6371576,0.994343561,0.994,1,0.5,203,36410,28378,143.1411991,1166.196599,156.8184052
Lviv,feb_2022_24,204.7955713,8.933096357,0.043619578,0.044,1,0.5,293,6724,7491,2.415240288,20.59597874,2.418719292
Lviv,feb_2022_25,204.7955713,201.1777838,0.98233464,0.982,1,0.4,402,43534,35473,84.92818165,743.8256636,85.0342474
Lviv,mar_2022_21,204.7955713,102.140735,0.498744843,0.499,1,0.3,217,32980,45985,187.4554977,1470.158348,204.6585741
Lviv,mar_2022_26,204.7955713,47.75222883,0.233170222,0.233,1,0.5,172,19392,14987,21.38346672,182.3064747,23.32196331
Lviv,jan_2019_08,204.7955713,83.934369,0.409844649,0.41,1,0.5,245,16622,27196,51.14320374,440.6074848,56.13428879
Lviv,jan_2019_19,204.7955713,85.37707855,0.416889281,0.417,1,0.5,245,16622,27196,60.30647659,456.2792196,66.0479517
Lviv,aug_2019_02,204.7955713,15.83159626,0.077304388,0.077,1,0.3,290,8240,32180,25.76693821,203.4628639,28.03106403
Lviv,aug_2019_21,204.7955713,203.8856177,0.995556771,"0.843,0.153",2,0.3,416,60684,47297,367.4018574,2821.522429,399.5424786
Lviv,sep_2019_09,204.7955713,18.7529421,0.09156908,0.092,1,0.3,138,9229,34809,21.29549026,180.826684,22.375103
Lviv,mar_2020_27,204.7955713,204.6399852,0.999240286,0.999,1,0.5,213,37202,28378,122.211153,1003.12651,132.789422
Lviv,apr_2020_09,204.7955713,63.62220684,0.310662025,0.311,1,0.5,214,13455,26407,34.44611931,286.058918,37.59287071
Lviv,apr_2020_10,204.7955713,11.0188117,0.053803955,0.054,1,0.3,156,6590,28237,17.28049088,142.9970322,18.76801109
Lviv,sep_2020_22,204.7955713,112.3545572,0.5486181,0.549,1,0.5,145,19788,28378,72.27792358,575.4825659,78.24299717
Lviv,sep_2021_05,204.7955713,82.58700061,0.403265559,0.403,1,0.3,178,27704,45985,150.5428839,1211.346546,164.6899328
Lviv,apr_2022_25,204.7955713,88.05775007,0.429978781,0.43,1,0.5,242,33640,15381,44.18874645,372.8067017,48.45586109
Lviv,may_2022_06,204.7955713,129.0220477,0.630004091,0.63,1,0.5,153,34827,20503,69.94876194,590.2996483,76.31949806
Lviv,may_2022_11,204.7955713,201.4255209,0.98354432,"0.756,0.228",2,0.3,418,62003,47297,288.5847359,2347.003575,313.2832823
Lviv,may_2022_19,204.7955713,189.5120442,0.925371789,0.925,1,0.5,198,35619,26803,110.0769615,875.608325,119.3494205
Lviv,jun_2022_30,204.7955713,154.0261803,0.752097222,0.752,1,0.48,313,30507,29560,119.8147135,940.8189449,131.00805
Lviv,aug_2022_25,204.7955713,193.4725612,0.944710669,"0.945,0.000",2,0.5,192,33244,28378,134.5404081,1061.768296,146.3965979
Mariupol,mar_2022_09,228.1094646,23.1249831,0.101376693,0.101,1,0.5,266,13767,7899,9.163292885,86.11020088,9.707994461
Mariupol,mar_2022_12,228.1094646,187.7971575,0.823276482,0.823,1,0.5,171,36715,30738,90.5389595,741.9878187,95.08493423
Mariupol,mar_2022_14,228.1094646,214.513003,0.940395013,"0.905,0.004,0.032",3,0.5,211,41747,40715,138.1368895,1099.406921,150.9453917
Mariupol,mar_2022_19,228.1094646,228.0828,0.999883106,"0.770,0.230",2,0.5,226,44262,43213,136.7374182,1113.843314,151.8915358
Mariupol,mar_2022_18,228.1094646,39.09176327,0.171372825,"0.126,0.045",2,0.5,119,27126,12474,11.58949757,115.7012453,13.18963909
Mariupol,mar_2022_21,228.1094646,83.46319599,0.365890982,"0.361,0.005",2,0.5,281,25054,34085,45.59965801,415.0499449,51.80570507
Mariupol,mar_2022_22,228.1094646,169.8029054,0.744392196,"0.741,0.003",2,0.5,177,36715,33227,118.2247438,903.684309,130.6436605
Mariupol,mar_2022_23,228.1094646,152.8477055,0.670062971,"0.669,0.001",2,0.5,368,32570,41554,77.47198677,678.7816191,87.65399933
Mariupol,mar_2022_29,228.1094646,228.0203625,0.999609389,"0.783,0.217",2,0.3,433,73769,72021,359.2822027,2876.672351,402.6281338
Mariupol,mar_2022_30,228.1094646,228.1094701,1.000000024,"0.953,0.047",2,0.5,226,44262,43213,114.8653898,1013.671406,127.862669
Mariupol,apr_2022_03,228.1094646,224.2099385,0.982905023,0.983,1,0.5,222,41756,43213,105.6453438,930.5665693,117.1460114
Mariupol,apr_2022_11,228.1094646,146.8205886,0.643640933,0.644,1,0.5,161,35031,28237,93.55581856,759.1639681,101.849947
Mariupol,feb_2019_14,228.1094646,8.082872203,0.035434182,0.035,1,0.5,320,5009,10919,3.240670204,26.94160271,3.319787979
Mariupol,jun_2019_16,228.1094646,228.1087152,0.999996715,"0.573,0.427",2,0.3,433,73769,72021,351.2214584,2948.149128,394.2810926
Mariupol,jun_2019_21,228.1094646,228.1095836,1.000000522,"0.697,0.303",2,0.3,433,73769,72021,318.2774334,2842.405855,357.9873247
Mariupol,aug_2019_08,228.1094646,207.9165921,0.91147727,0.911,1,0.5,203,38413,37402,119.408639,1087.876249,131.6594992
Mariupol,aug_2019_12,228.1094646,228.1097848,1.000001404,"0.871,0.129",2,0.5,226,44262,43213,67.51045418,600.7075682,75.79428673
Mariupol,sep_2019_25,228.1094646,141.7394599,0.621365975,0.621,1,0.4,468,30795,54016,121.4293537,1058.428702,134.5384865
Mariupol,may_2020_05,228.1094646,228.1097613,1.000001301,"0.621,0.379",2,0.5,226,44262,43213,113.341404,1032.170383,127.09624
Mariupol,jun_2020_07,228.1094646,101.9005103,0.44671759,0.447,1,0.5,268,21694,31152,51.33238506,445.1105318,56.41547203
Mariupol,jul_2020_05,228.1094646,139.1471843,0.610001801,0.61,1,0.4,268,43844,37416,111.8774357,953.0515661,123.985548
Mariupol,feb_2021_13,228.1094646,198.287514,0.869264738,0.869,1,0.4,375,42800,54016,93.11834431,809.4247179,101.5397501
Mariupol,may_2021_31,228.1094646,6.151825297,0.026968742,0.027,1,0.5,232,4279,10191,1.552390099,13.18625927,1.548107147
Mariupol,jun_2021_12,228.1094646,72.95714383,0.319833918,0.32,1,0.3,282,36885,38121,105.0371532,861.7747107,115.6949062
Mariupol,jun_2021_21,228.1094646,195.9232483,0.858900128,0.859,1,0.5,180,36717,34059,122.387188,972.5696192,133.589982
Mariupol,apr_2022_02,228.1094646,11.92924055,0.052296123,0.052,1,0.5,413,12109,11026,6.219948769,52.42130947,6.870404243
Mariupol,apr_2022_30,228.1094646,95.81657515,0.420046469,"0.417,0.003",2,0.5,305,35448,28237,57.83690357,518.8646135,66.4615984
Mariupol,may_2022_06,228.1094646,101.6995238,0.445836493,0.446,1,0.4,210,25029,35306,94.88111401,814.3589859,102.3855047
Mariupol,may_2022_07,228.1094646,18.68002055,0.081890598,0.082,1,0.4,239,8082,23632,14.91051579,125.6851053,15.94474602
Mariupol,may_2022_08,228.1094646,207.449292,0.909428692,0.909,1,0.5,196,37581,41554,135.3332853,1264.45507,149.9369011
Mariupol,may_2022_12,228.1094646,112.2080137,0.491904244,0.492,1,0.3,209,51499,42967,174.2730331,1442.306695,191.7300425
Mariupol,jul_2022_30,228.1094646,10.75169367,0.047133922,0.047,1,0.5,377,8134,21604,5.742227554,50.86959076,6.754802704
Mariupol,jul_2022_31,228.1094646,164.0238877,0.719057791,"0.584,0.135",2,0.5,181,36699,28237,100.0922155,833.7231331,109.5829096
Mariupol,aug_2022_06,228.1094646,212.6288016,0.932134938,0.932,1,0.5,211,44249,34075,97.99156952,883.3545866,107.9333096
Mariupol,aug_2022_14,228.1094646,91.61281016,0.401617751,0.402,1,0.3,264,30583,47061,79.62396908,703.6860523,82.04206944
Mykolaiv,feb_2022_04,344.4076632,344.4076582,0.999999986,"0.608,0.392",2,0.5,328,45277,53374,192.7554216,1637.00529,214.2007656
Mykolaiv,nov_2021_11,344.4076632,282.8799083,0.821351957,0.821,1,0.4,513,39827,66717,203.0432167,1699.377929,219.6289196
Mykolaiv,feb_2022_27,344.4076632,85.85927436,0.249295482,0.249,1,0.3,202,27911,59732,107.930481,934.2800913,115.3427105
Mykolaiv,mar_2022_15,344.4076632,127.2020659,0.36933576,0.369,1,0.4,416,32974,31273,126.7446194,1073.229699,136.2687092
Mykolaiv,mar_2022_31,344.4076632,115.6158109,0.335694653,0.336,1,0.3,392,30044,86179,125.3004704,1093.262495,134.0488901
Mykolaiv,mar_2019_05,344.4076632,228.1029023,0.662304956,0.662,1,0.4,427,34586,66717,296.0720873,2295.58112,327.5854053
Mykolaiv,jun_2019_18,344.4076632,292.5781721,0.849511214,0.85,1,0.3,559,55897,88956,429.786787,3547.367765,468.1211729
Mykolaiv,jul_2019_07,344.4076632,113.7661589,0.330324122,0.33,1,0.4,401,22533,64634,184.1138258,1395.010414,206.4266777
Mykolaiv,jul_2019_16,344.4076632,117.240835,0.340412968,0.34,1,0.4,406,30917,46940,88.41033459,749.1880836,98.158391
Mykolaiv,aug_2019_19,344.4076632,55.57249834,0.161356742,0.161,1,0.3,205,19531,50001,118.6995602,922.6628857,129.3609409
Mykolaiv,oct_2019_11,344.4076632,8.232300651,0.02390278,0.024,1,0.5,401,20353,3537,4.233500481,33.81296921,4.505664825
Mykolaiv,jan_2020_25,344.4076632,114.1425948,0.331417117,"0.315,0.016",2,0.4,398,47685,35479,74.96993351,720.3186598,85.62373924
Mykolaiv,jan_2020_30,344.4076632,26.84699733,0.077951219,0.078,1,0.5,337,8364,20410,2.260418892,5.177909851,1.825181961
Mykolaiv,apr_2020_08,344.4076632,62.67419661,0.181976777,0.182,1,0.3,231,21659,83405,73.59166336,657.1818504,84.5491209
Mykolaiv,apr_2020_12,344.4076632,307.9743005,0.894214425,0.894,1,0.5,270,36054,53374,127.0796022,1092.08779,133.7769203
Mykolaiv,may_2020_21,344.4076632,303.4145094,0.880974908,0.881,1,0.3,542,55897,88956,245.8245602,2243.102233,249.5090981
Mykolaiv,nov_2020_27,344.4076632,294.3249525,0.854583054,0.855,1,0.3,535,55897,88956,322.8176651,2797.314372,344.4566135
Mykolaiv,dec_2020_27,344.4076632,175.7489944,0.510293507,0.51,1,0.5,239,36879,31708,108.6674471,932.9419279,116.1258717
Mykolaiv,jan_2021_17,344.4076632,156.5297085,0.454489622,0.454,1,0.4,435,42428,37548,98.10562611,796.6011381,102.3361273
Mykolaiv,feb_2021_05,344.4076632,338.8468856,0.983854083,"0.495,0.424,0.065",3,0.5,339,45277,53374,206.4033098,1741.951489,226.8584099
Mykolaiv,apr_2021_24,344.4076632,184.8035239,0.536583658,0.537,1,0.3,335,43317,77853,255.1507626,2094.791924,280.0823164
Mykolaiv,may_2021_27,344.4076632,231.4391987,0.671992013,0.672,1,0.5,216,37665,30832,102.1033039,910.3524981,108.2040396
Mykolaiv,jun_2021_19,344.4076632,97.64205754,0.283507215,0.284,1,0.3,345,27249,85486,154.8035755,1303.173365,172.4556074
Mykolaiv,mar_2022_13,344.4076632,28.53410298,0.082849791,0.083,1,0.5,105,22552,7075,14.72000217,126.4068413,15.67051411
Mykolaiv,may_2022_09,344.4076632,32.06731823,0.093108608,0.093,1,0.4,292,22533,17489,28.04323769,236.6206903,31.65494633
Mykolaiv,may_2022_21,344.4076632,23.48044701,0.06817632,0.068,1,0.5,210,15301,10234,8.389317513,75.12199402,9.014622688
Mykolaiv,jul_2022_03,344.4076632,45.80991954,0.133010744,0.133,1,0.5,181,27576,12905,10.08593845,92.17389774,10.85874367
Mykolaiv,jul_2022_05,344.4076632,34.06526287,0.098909712,0.099,1,0.48,140,18341,12618,18.76601315,155.5267687,20.31998348
Mykolaiv,jul_2022_21,344.4076632,239.6949311,0.695962828,0.696,1,0.3,475,48910,88956,276.181159,2363.912534,301.9967527
Mykolaiv,jul_2022_27,344.4076632,57.25683775,0.166247282,0.166,1,0.4,215,31340,17693,45.64022636,395.8122377,49.11970901
Mykolaiv,aug_2022_13,344.4076632,221.0390009,0.641794665,0.642,1,0.5,261,38564,41713,95.00145912,838.4527073,103.1193914
Mykolaiv,sep_2022_06,344.4076632,141.3778182,0.410495565,0.41,1,0.5,320,34375,32135,53.70167255,482.4325619,60.13390923
Mykolaiv,sep_2022_17,344.4076632,217.6845206,0.632054812,0.632,1,0.5,230,39407,40886,135.6737709,1074.712433,149.9705915
Odessa,dec_2021_03,265.4692056,186.7314489,0.703401543,0.703,1,0.5,168,27051,38701,95.5784874,856.7769337,104.2909327
Odessa,sep_2021_09,265.4692056,265.4691887,0.999999936,"0.601,0.399",2,0.3,495,56411,106559,560.8324127,4738.099317,630.5392714
Odessa,feb_2022_26,265.4692056,265.4691496,0.999999789,"0.685,0.315",2,0.4,495,42309,79920,236.2017279,2019.33224,265.148365
Odessa,mar_2022_13,265.4692056,174.5883574,0.657659547,0.658,1,0.4,337,40138,48356,67.19439983,570.3499718,73.59955978
Odessa,mar_2022_14,265.4692056,133.0036518,0.501013485,0.501,1,0.5,316,32498,34029,45.44508839,406.1113091,51.42004681
Odessa,mar_2022_16,265.4692056,215.5726361,0.812043851,0.812,1,0.5,213,31293,48800,110.7923212,993.0347862,122.1916332
Odessa,mar_2022_25,265.4692056,161.0812098,0.606779266,"0.607,0.000,0.000",3,0.5,167,24502,43715,73.29303932,639.9097052,80.78775978
Odessa,mar_2022_27,265.4692056,253.5618429,0.955145974,0.955,1,0.5,244,32150,59731,101.128871,869.7538919,109.7660017
Odessa,mar_2022_30,265.4692056,144.4991952,0.544316223,"0.544,0.001,0.000",3,0.4,276,28531,38923,118.5831585,993.077899,127.7586927
Odessa,jan_2019_09,265.4692056,5.25142974,0.019781691,0.02,1,0.4,230,10973,6456,2.593549728,22.65522099,2.657491684
Odessa,jan_2019_17,265.4692056,258.6750387,0.974406949,0.974,1,0.5,245,32150,62249,218.1090193,1738.812109,245.1892986
Odessa,jun_2019_30,265.4692056,265.4691327,0.999999725,"0.900,0.099,0.000",3,0.3,495,56411,106559,504.4995098,4424.80337,568.7020311
Odessa,jul_2019_25,265.4692056,265.4692056,1,1,1,0.4,495,42309,79920,191.4240341,1744.542351,216.1325331
Odessa,aug_2019_11,265.4692056,261.9085574,0.98658734,0.987,1,0.4,490,38078,79920,247.145751,2243.997904,275.2158108
Odessa,aug_2019_14,265.4692056,265.4692056,1,1,1,0.3,495,56411,106559,440.9958515,3879.088359,499.5321522
Odessa,aug_2019_17,265.4692056,184.9842929,0.696820154,0.697,1,0.5,425,18615,57639,91.94830894,787.34793,100.5938911
Odessa,jan_2020_11,265.4692056,243.2841647,0.916430831,"0.878,0.038",2,0.3,448,49329,88317,291.6652374,2848.49655,321.418107
Odessa,jan_2020_14,265.4692056,228.9831285,0.86256004,"0.860,0.002",2,0.4,414,40163,57835,188.2837925,1685.767029,205.3076935
Odessa,feb_2020_02,265.4692056,250.8633528,0.94498099,0.945,1,0.4,462,38059,72541,189.647049,1657.881561,210.4451303
Odessa,apr_2020_19,265.4692056,235.9104431,0.888654647,"0.888,0.001",2,0.4,436,38049,60983,133.2621861,1239.058103,142.6794033
Odessa,apr_2020_20,265.4692056,252.2689039,0.950275582,0.95,1,0.3,473,45129,105161,326.5844851,2857.292937,359.8589754
Odessa,may_2020_04,265.4692056,253.2080708,0.953813344,"0.876,0.076,0.001,0.000",4,0.4,477,42291,73595,242.8237886,2094.154374,271.6186247
Odessa,sep_2020_27,265.4692056,231.5675261,0.872295246,0.872,1,0.4,428,33847,64179,251.7416391,2199.271404,276.9410486
Odessa,oct_2020_09,265.4692056,177.8804441,0.670060558,0.67,1,0.3,323,43667,82675,242.6861382,2023.410075,268.3395071
Odessa,nov_2020_24,265.4692056,187.1669591,0.705042073,"0.559,0.146",2,0.5,410,30860,53818,94.54004288,854.095521,108.5254478
Odessa,nov_2020_27,265.4692056,27.32996806,0.102949674,0.103,1,0.3,303,22129,30439,43.16307163,375.0114813,49.14484501
Odessa,feb_2021_05,265.4692056,204.5009591,0.770337782,0.77,1,0.3,402,45095,91102,358.3640308,3213.447363,399.4740353
Odessa,mar_2021_07,265.4692056,136.118324,0.512746191,0.513,1,0.4,222,28511,35746,95.11112213,783.6041241,102.0003958
Odessa,mar_2021_23,265.4692056,80.16619803,0.301979274,0.302,1,0.4,287,28557,28439,69.6391449,596.0363064,76.6605854
Odessa,mar_2021_28,265.4692056,172.2466234,0.648838433,0.649,1,0.5,148,26193,35323,104.8858318,886.4649124,114.1671495
Odessa,may_2021_11,265.4692056,105.7067321,0.398188302,0.398,1,0.4,376,35864,35183,105.5291748,906.2796793,118.1997461
Odessa,may_2021_22,265.4692056,242.2234448,0.912435189,"0.573,0.340",2,0.5,234,32976,54661,118.8223524,1073.244317,133.2092571
Odessa,jun_2021_29,265.4692056,140.4282933,0.52898148,0.529,1,0.4,279,32773,35788,102.0521126,888.2206125,109.9375811
Odessa,jul_2021_09,265.4692056,123.9627933,0.466957337,0.467,1,0.3,244,36602,49055,184.944294,1616.082097,202.7675838
Odessa,jul_2021_20,265.4692056,265.4691288,0.999999711,"0.938,0.062",2,0.5,261,33847,63936,179.2358837,1563.686779,200.8725386
Odessa,jul_2021_31,265.4692056,265.4691985,0.999999973,"0.977,0.023",2,0.5,261,33847,63936,129.5614977,1170.859697,146.3489504
Odessa,aug_2021_15,265.4692056,241.6386308,0.910232244,"0.858,0.052",2,0.3,448,45129,96768,404.7351236,3507.629084,445.8921843
Odessa,aug_2021_28,265.4692056,205.2201648,0.773046969,0.773,1,0.3,404,43719,106559,256.4140711,2188.090278,287.2549105
Odessa,oct_2021_30,265.4692056,109.964147,0.414225623,0.414,1,0.3,206,35196,42057,152.0845671,1303.686641,163.831172
Odessa,may_2022_09,265.4692056,113.2330719,0.426539386,0.427,1,0.3,202,35194,46255,164.7497835,1427.661592,179.4461184
Odessa,may_2022_12,265.4692056,160.8788375,0.606016947,0.606,1,0.5,171,26224,35364,95.590065,835.2308521,104.3301411
Odessa,may_2022_20,265.4692056,223.0309902,0.840138839,"0.650,0.190",2,0.5,198,27077,49663,114.7007046,1027.160631,125.7306194
Odessa,mar_2020_08,265.4692056,15.29957181,0.05763219,0.058,1,0.3,426,9694,26162,18.23182106,156.2221804,17.8716135
Odessa,may_2022_28,265.4692056,128.9317062,0.485674811,"0.383,0.103",2,0.5,348,27923,58479,64.69187832,575.1747198,77.40361595
Odessa,jun_2022_09,265.4692056,115.8431304,0.436371255,0.436,1,0.3,388,46428,53223,182.3178511,1537.188272,203.7522221
Odessa,jul_2022_09,265.4692056,97.65125922,0.367844018,0.368,1,0.5,282,29111,29823,35.16967773,324.2529869,39.05339241
Odessa,jul_2022_10,265.4692056,92.77857224,0.349489019,0.349,1,0.3,183,32372,39245,135.5286398,1110.542059,146.7533941
Odessa,jul_2022_17,265.4692056,121.6732872,0.458332962,0.458,1,0.3,224,38009,44855,140.2556591,1134.96151,150.2489748
Odessa,aug_2022_17,265.4692056,123.1590256,0.463929612,0.464,1,0.3,372,48544,44833,166.49963,1384.902358,182.6420841
Odessa,sep_2022_05,265.4692056,132.4371425,0.498879492,0.499,1,0.3,378,38716,48358,167.6402102,1371.622172,181.1767225
Odessa,sep_2022_22,265.4692056,168.3902615,0.634311845,0.634,1,0.5,154,27036,33641,89.53762531,769.1117849,97.12766457
Odessa,sep_2022_30,265.4692056,189.0605731,0.712175157,0.712,1,0.5,185,31269,40369,122.906209,1040.298153,135.1687269
Zaporizhzhia,aug_2021_27,459.9930974,459.9928288,0.999999416,"0.648,0.189,0.163",3,0.4,824,78256,57374,243.1489887,2101.326357,257.1012011
Zaporizhzhia,mar_2022_12,459.9930974,197.415535,0.429170646,0.429,1,0.5,208,39487,30306,121.5990858,1001.816795,132.2013016
Zaporizhzhia,feb_2019_19,459.9930974,10.44293387,0.022702371,0.023,1,0.4,146,7448,12030,4.896492004,42.9327364,5.063706398
Zaporizhzhia,apr_2019_20,459.9930974,78.16016023,0.169915942,0.17,1,0.5,262,16467,30741,25.17617321,223.9207115,27.32609749
Zaporizhzhia,apr_2019_27,459.9930974,55.95520645,0.121643579,0.122,1,0.3,183,18523,44407,88.14680004,756.7818575,95.57767868
Zaporizhzhia,sep_2019_12,459.9930974,269.7492163,0.586420139,0.586,1,0.3,477,52171,76499,356.1948662,2890.92945,383.6945171
Zaporizhzhia,sep_2019_19,459.9930974,441.5245716,0.959850429,"0.633,0.327",2,0.4,782,72078,57374,362.9677124,3040.804774,395.2477055
Zaporizhzhia,jan_2020_23,459.9930974,42.99473248,0.093468212,0.093,1,0.5,115,13979,15975,29.28421021,223.2261152,30.85887909
Zaporizhzhia,mar_2020_19,459.9930974,459.9932008,1.000000225,"0.651,0.349",2,0.5,353,62605,45899,236.9257069,2044.21902,257.0648565
Zaporizhzhia,oct_2020_09,459.9930974,234.2160154,0.509172891,"0.501,0.009",2,0.5,227,33766,38527,129.6608973,1093.297467,140.6605911
Zaporizhzhia,may_2022_06,459.9930974,189.261493,0.411444202,0.411,1,0.4,306,41176,32804,181.9296722,1682.17491,195.3266792
Zaporizhzhia,aug_2022_10,459.9930974,102.928331,0.223760599,0.224,1,0.3,239,35691,54665,120.690938,999.8625097,129.0387363
Zaporizhzhia,aug_2022_22,459.9930974,274.0019703,0.595665396,"0.519,0.077",2,0.4,441,51455,40981,240.4177952,1949.260484,254.1728468
Zaporizhzhia,aug_2022_29,459.9930974,66.33359195,0.144205625,0.144,1,0.4,259,16981,32285,59.97850227,474.0927734,64.79207039
Cherkasy,jan_2019_09,412.4730947,278.1328015,0.674305318,"0.674,0.000",2,0.5,271,39973,50108,45.16498375,331.6915054,48.18882656
Cherkasy,mar_2019_18,412.4730947,16.98053659,0.041167622,0.041,1,0.4,270,26482,7969,15.1708498,121.8088684,16.91366005
Cherkasy,may_2019_30,412.4730947,286.9587043,0.695702842,"0.596,0.099",2,0.3,595,71914,74215,401.8245001,3489.275325,436.3763227
Cherkasy,feb_2020_19,412.4730947,18.23107643,0.044199432,0.044,1,0.4,206,27481,8218,18.38012505,156.7763577,20.34383106
Cherkasy,apr_2020_18,412.4730947,411.7985284,0.998364581,"0.634,0.365",2,0.5,380,67154,50108,155.0952129,1445.077871,173.7205181
Cherkasy,sep_2020_19,412.4730947,226.1382524,0.548249705,"0.547,0.001",2,0.3,425,49282,63640,357.0047197,2913.949985,381.2236338
Cherkasy,mar_2021_30,412.4730947,196.0273994,0.475248936,"0.368,0.108",2,0.3,654,85229,72890,302.3186512,2520.576739,349.875988
Cherkasy,jun_2021_24,412.4730947,162.3172247,0.39352197,0.394,1,0.4,358,40957,47730,88.42366505,828.9434195,96.29783058
Cherkasy,aug_2021_15,412.4730947,175.261764,0.424904718,0.425,1,0.3,355,49253,46399,316.2954807,2436.006163,337.0500622
Cherkasy,nov_2021_11,412.4730947,129.2647493,0.31338953,0.313,1,0.3,285,51863,47675,175.5412407,1448.696382,191.2896471
Cherkasy,nov_2021_12,412.4730947,7.788997746,0.01888365,0.019,1,0.4,333,19237,5230,6.931245804,61.44667053,7.592461586
Cherkasy,jul_2022_21,412.4730947,210.5364544,0.510424697,0.51,1,0.4,403,46927,47706,171.6601791,1498.537842,185.1220512
Cherkasy,aug_2022_21,412.4730947,239.7484923,0.581246378,0.581,1,0.5,239,41538,41342,109.508625,932.5849905,119.5059605
Chernihiv,apr_2019_03,120.4986872,113.7603389,0.944079488,0.944,1,0.3,275,42027,46933,177.6524572,1476.48337,195.4804754
Chernihiv,jun_2019_21,120.4986872,120.4986853,0.999999984,"0.976,0.024",2,0.4,440,38682,34248,121.5209723,1004.710795,135.5795851
Chernihiv,jul_2019_26,120.4986872,32.65284227,0.270980896,0.271,1,0.3,158,24183,33607,45.37328434,386.2787504,51.76427174
Chernihiv,aug_2019_07,120.4986872,21.56383092,0.178954903,0.179,1,0.3,238,20039,27262,32.95053101,280.0886583,37.17776394
Chernihiv,aug_2019_19,120.4986872,23.77302101,0.197288631,0.197,1,0.3,358,20998,31386,51.07623386,442.0457487,58.27972603
Chernihiv,feb_2020_25,120.4986872,115.6834016,0.960038689,0.96,1,0.4,408,32474,34248,109.2459869,893.7735786,119.2951155
Chernihiv,mar_2020_03,120.4986872,100.744828,0.836065773,0.836,1,0.4,234,24834,35200,78.70034409,650.4482002,84.52510834
Chernihiv,jun_2020_16,120.4986872,120.4986706,0.999999862,"0.745,0.255",2,0.3,440,51576,45665,191.0357351,1559.086099,211.9253778
Chernihiv,sep_2020_06,120.4986872,114.5630854,0.950741357,0.951,1,0.5,297,25215,27399,98.52525711,840.3545837,108.5540333
Chernihiv,mar_2021_30,120.4986872,120.4986848,0.99999998,"0.973,0.027",2,0.3,440,51576,45665,229.205101,1829.54355,254.2150145
Chernihiv,sep_2021_15,120.4986872,120.4986872,1,1,1,0.4,440,38682,34248,93.41301632,762.3155308,104.0793829
Chernihiv,feb_2022_28,120.4986872,120.499063,1.000003119,"0.941,0.059",2,0.5,329,30946,27399,90.30790043,730.4580269,100.0296078
