location_name,snapshot,AOI_area_sqkm,AOI_area_covered_sqkm,AOI_area_covered_perc,Perc_area_covered_by_feature,N_features_in_img,Image_resolution,Number_of_img_tiles_downloaded,Stitched_img_width,Stitched_img_height,Total_downloaded_imagery_MB,Stitched_img_file_size_MB,Geotiff_img_file_size_MB
Dnipro,oct_2020_08,493.5267184,219.1539424,0.444056895,0.444,1,0.3,361,51573,56748,324.8171291,2620.869117,346.8085737
Dnipro,feb_2021_19,493.5267184,471.4192759,0.955205176,"0.736,0.187,0.032",3,0.5,259,55373,48610,340.611784,2789.273434,374.4335852
Dnipro,jun_2021_05,493.5267184,462.9802035,0.938105651,"0.616,0.291,0.032",3,0.3,758,86860,86406,465.2277336,4098.872079,487.1282272
Dnipro,jun_2021_30,493.5267184,67.00677152,0.135771315,0.136,1,0.3,220,49534,18934,103.7801228,827.2211142,111.3153391
Dnipro,sep_2021_30,493.5267184,182.0511958,0.368878095,"0.351,0.018",2,0.5,202,39084,29189,119.9685278,1015.733519,131.6242647
Dnipro,oct_2021_09,493.5267184,50.25933706,0.101837115,0.102,1,0.3,263,16281,52683,78.26176453,662.0023222,84.3616972
Dnipro,jan_2022_13,493.5267184,303.981931,0.615938144,0.616,1,0.4,503,46803,44566,239.4061193,2027.72613,254.3801794
Dnipro,aug_2022_10,493.5267184,28.73589636,0.058225614,0.058,1,0.5,224,6716,31001,15.83983517,129.7703791,17.19928169
Dnipro,aug_2022_27,493.5267184,442.9373358,0.897494136,"0.657,0.241",2,0.5,354,48852,49412,234.7059898,2023.515993,254.2993879
Donetsk,oct_2021_16,465.3040442,465.3035169,0.999998867,"0.620,0.226,0.154",3,0.4,839,90349,50070,578.0297108,4791.020263,637.7832975
Donetsk,mar_2022_11,465.3040442,151.3671889,0.325308131,0.325,1,0.3,320,54714,50392,264.2677813,1900.277985,286.4582024
Donetsk,mar_2022_18,465.3040442,231.1360068,0.496741882,"0.410,0.087",2,0.5,213,47612,33507,149.4325333,1139.342611,163.7523766
Donetsk,mar_2022_26,465.3040442,282.2469141,0.60658599,0.607,1,0.5,260,53388,28625,159.9811249,1242.893279,172.2902746
Donetsk,mar_2022_30,465.3040442,402.7193138,0.865497128,0.865,1,0.5,334,64066,40056,207.8549948,1724.692945,227.1189089
Donetsk,may_2019_20,465.3040442,241.547472,0.5191175,0.519,1,0.5,193,45960,31052,125.4045877,1026.991049,136.9554939
Donetsk,may_2019_27,465.3040442,24.4707148,0.052590806,0.053,1,0.3,92,13005,32046,28.49894047,236.7575655,31.00833321
Donetsk,may_2019_31,465.3040442,132.2414525,0.284204391,0.284,1,0.5,138,30347,23690,77.00681114,617.3582277,83.96288586
Donetsk,jun_2019_27,465.3040442,129.425508,0.278152553,0.278,1,0.5,304,36923,28188,72.89619255,617.602047,81.45028591
Donetsk,sep_2019_24,465.3040442,404.7749135,0.869914884,"0.558,0.284,0.028",3,0.3,663,106784,68124,760.9494905,6024.07604,836.6698427
Donetsk,sep_2019_25,465.3040442,24.51041644,0.05267613,0.053,1,0.4,92,9754,24035,25.68204689,214.4742441,27.96209145
Donetsk,oct_2019_03,465.3040442,121.5779841,0.261287186,0.261,1,0.4,243,36903,27568,114.202014,992.5844889,124.2925329
Donetsk,oct_2019_14,465.3040442,52.56434782,0.112967743,0.113,1,0.5,178,13535,23285,31.68255997,275.7402849,34.70600891
Donetsk,oct_2019_31,465.3040442,449.84648,0.966779648,"0.564,0.403",2,0.4,815,83162,50070,404.2024031,3564.547995,442.3174248
Donetsk,nov_2019_15,465.3040442,20.00382587,0.04299087,0.043,1,0.5,170,6776,18410,9.961293221,85.06315899,10.78203678
Donetsk,dec_2019_20,465.3040442,20.48536092,0.044025753,0.044,1,0.4,252,10777,19940,15.77774143,127.2986155,17.00154305
Donetsk,jan_2020_02,465.3040442,87.86863222,0.188841325,0.189,1,0.3,290,32854,38858,183.0395956,1345.898682,197.929224
Donetsk,feb_2020_16,465.3040442,126.1435318,0.271099152,0.271,1,0.3,246,46544,38177,286.0238829,2191.989867,313.8909893
Donetsk,mar_2020_17,465.3040442,464.5496866,0.998378786,"0.593,0.371,0.034",3,0.4,832,88296,50070,472.202527,3644.731682,516.9015732
Donetsk,apr_2020_10,465.3040442,169.1975004,0.363627831,0.364,1,0.5,136,33654,32688,121.1664486,991.7838526,132.9255877
Donetsk,jul_2020_06,465.3040442,363.9952403,0.782273967,"0.576,0.206",2,0.5,326,59138,35158,230.9565134,1841.688362,250.7089853
Donetsk,jul_2020_12,465.3040442,11.54825226,0.024818723,0.025,1,0.4,160,6160,20201,11.86730957,100.7362118,12.87786579
Donetsk,aug_2020_04,465.3040442,101.8376005,0.218862487,0.219,1,0.3,222,43759,43578,170.9582529,1381.534979,188.4041119
Donetsk,aug_2020_18,465.3040442,137.9215032,0.296411572,0.296,1,0.3,443,45147,52442,177.7444229,1466.505509,193.6184893
Donetsk,sep_2020_26,465.3040442,10.4977772,0.022561113,0.023,1,0.4,158,6671,13807,11.34525204,95.94414043,12.26422787
Donetsk,oct_2020_07,465.3040442,30.08795254,0.064662994,0.065,1,0.4,360,44918,7675,29.15646553,248.6540728,31.95721436
Donetsk,nov_2020_19,465.3040442,162.6343171,0.349522681,0.35,1,0.3,301,47899,59941,227.83002,1872.383471,248.9443827
Donetsk,apr_2021_25,465.3040442,168.5119672,0.362154529,0.362,1,0.4,322,45120,32679,194.1745815,1647.954945,211.7390594
Donetsk,jun_2021_21,465.3040442,283.2998185,0.608848821,0.609,1,0.5,224,43532,32709,138.7950668,1107.867592,149.3502665
Donetsk,jul_2021_08,465.3040442,86.1654439,0.185180948,0.185,1,0.4,301,28699,25014,80.71700382,668.5783548,87.28464508
Donetsk,jul_2021_13,465.3040442,79.85889618,0.171627342,0.172,1,0.5,214,18066,35559,59.58319283,505.2693853,66.08315754
Donetsk,sep_2021_14,465.3040442,124.2236587,0.26697309,0.267,1,0.3,440,42408,50398,169.5853148,1360.270268,186.1471663
Donetsk,sep_2021_15,465.3040442,162.9972831,0.350302743,0.35,1,0.5,153,39394,31052,104.9185572,904.0977163,116.0453901
Donetsk,oct_2021_21,465.3040442,197.4247819,0.424291996,0.424,1,0.5,159,34480,32693,116.1334019,1007.99812,126.8627148
Donetsk,feb_2022_15,465.3040442,460.6495455,0.989996866,"0.655,0.335",2,0.5,355,68994,40056,324.0059681,2581.091014,356.3869667
Donetsk,apr_2022_25,465.3040442,276.5685094,0.594382346,"0.353,0.241",2,0.4,575,79056,50070,238.7450714,2039.587065,269.6168547
Donetsk,apr_2022_27,465.3040442,26.3848413,0.056704517,0.057,1,0.5,237,14165,12478,12.43716717,105.9187098,13.62990475
Donetsk,may_2022_07,465.3040442,27.88188021,0.059921852,0.06,1,0.4,117,10780,24035,24.48377991,209.7778425,26.67653465
Donetsk,may_2022_08,465.3040442,28.01983223,0.060218329,0.06,1,0.5,313,15805,17790,22.30740356,189.835104,25.25077248
Donetsk,jun_2022_01,465.3040442,339.9077697,0.730506803,0.731,1,0.32,636,96253,60037,621.6210709,5389.756335,691.9083042
Donetsk,jun_2022_13,465.3040442,196.6812646,0.42269408,0.423,1,0.43,394,54439,38983,171.8457098,1374.815976,192.6688452
Donetsk,jun_2022_17,465.3040442,80.5307639,0.173071274,0.173,1,0.5,210,23773,17558,30.55558491,259.1569681,32.43085766
Donetsk,jul_2022_07,465.3040442,192.2314647,0.41313087,0.413,1,0.5,160,41068,27808,115.8335209,946.2412758,126.1287155
Donetsk,jul_2022_19,465.3040442,134.4383685,0.288925854,0.289,1,0.45,285,31942,33621,108.7536669,947.1455612,117.8043966
Donetsk,jul_2022_20,465.3040442,179.600186,0.38598458,0.386,1,0.4,293,43118,32716,127.6608715,1061.957035,136.5656023
Donetsk,jul_2022_27,465.3040442,250.0993991,0.537496723,0.537,1,0.41,486,56093,46858,285.7429333,2450.083889,316.9458008
Donetsk,jul_2022_30,465.3040442,102.5453323,0.220383497,0.22,1,0.46,331,41068,20900,73.51271248,638.2148514,80.53594971
Donetsk,sep_2022_02,465.3040442,53.52832043,0.115039448,0.115,1,0.33,217,43555,23557,91.27587223,754.2487831,102.3937654
Donetsk,sep_2022_03,465.3040442,264.1772118,0.567751807,0.568,1,0.5,214,45155,35144,178.4606218,1490.801558,194.5523405
Kharkiv,nov_2021_17,386.9412351,309.758364,0.800530768,0.801,1,0.5,173,39458,40845,162.8770647,1409.623449,176.3046207
Kharkiv,mar_2022_16,386.9412351,364.7925962,0.942759683,0.943,1,0.5,308,44203,45558,190.2797012,1642.077113,208.0172949
Kharkiv,mar_2022_17,386.9412351,120.5348921,0.311506971,0.312,1,0.4,425,45826,36804,167.4567423,1308.091664,190.5162477
Kharkiv,mar_2022_19,386.9412351,193.0003,0.498784525,0.499,1,0.5,214,37841,32185,156.558732,1098.51112,173.4245329
Kharkiv,mar_2022_22,386.9412351,134.2343788,0.346911537,0.347,1,0.5,310,25228,32578,118.6560497,890.3667927,131.3514299
Kharkiv,mar_2022_23,386.9412351,169.3998982,0.437792313,"0.437,0.000",2,0.5,169,33118,34543,120.4972095,940.1919308,133.008235
Kharkiv,apr_2022_05,386.9412351,261.8792278,0.67679328,0.677,1,0.3,528,51307,75929,208.1511221,1738.208282,218.699892
Kharkiv,apr_2022_07,386.9412351,204.4244065,0.528308663,0.528,1,0.5,220,38632,32971,100.8479662,809.6301107,109.6592779
Kharkiv,jun_2019_16,386.9412351,95.12468024,0.245837537,0.246,1,0.5,234,15392,39285,45.6680584,414.8385668,49.9222908
Kharkiv,mar_2020_01,386.9412351,386.9422281,1.000002566,"0.655,0.345",2,0.3,749,78945,78553,340.1524057,3351.922624,370.089076
Kharkiv,apr_2020_02,386.9412351,180.4374109,0.466317349,0.466,1,0.5,156,24469,45558,92.51946259,792.2322693,101.4510307
