"Longitude","Latitude"
37.1229938071002,50.3075821115241
37.1435353272239,50.3068670440168
37.1435123211814,50.3068891595067
37.1434950666496,50.3069094320391
37.1373467018135,50.3088684958543
37.1234654309698,50.3078382826156
37.1435295757133,50.3067159215024
37.1436532331913,50.3096738682787
37.1437970209564,50.3069241756991
37.1260708652736,50.3072632798778
37.1374099684302,50.3038759240056
37.1231519736419,50.2984060261661
37.126093871316,50.307219048898
37.1263153044743,50.3074531044996
37.1433714091716,50.3097512724934
37.1317734880379,50.3115573708366
37.1233388977365,50.2989404838391
37.1224387863269,50.2980116332626
37.1283082028987,50.3084354008434
37.1263814468462,50.3072430073454
37.1263987013781,50.307200619323
37.1262089015281,50.3076208136315
37.1270917584059,50.3081276269421
37.1257085201055,50.3114136201522
37.1263383105167,50.305481139982
37.1224129045292,50.3072208918555
37.132222105865,50.311472594792
37.1263871983568,50.30735727071
37.1417063468517,50.306546369413
37.1151113618169,50.3063952468986
37.117414841814,50.2889092662044
37.1261628894433,50.3078530262756
37.126246286347,50.3072632798778
37.1367945567955,50.311596072944
37.1435439544898,50.3068559862718
37.123229619035,50.3078474974031
37.1350604763483,50.306269925789
37.1340740922796,50.3114228349396
37.1224646681246,50.30733515522
37.1205724211358,50.3066753764375
37.1224186560398,50.3071674460882
37.1306346889382,50.3083395670537
37.0827188540929,50.2835481028571
37.1182603138728,50.2862793658618
37.143336900108,50.3093126486101
37.1171416450603,50.3120697130197
37.1182746926493,50.2861853750296
37.1312501005729,50.3136970444861
37.1362337845116,50.3079912480876
37.1332717565503,50.3104718688732
37.1261513864221,50.3054977265994
37.1408896323458,50.3041892267794
37.1279717395284,50.2954923103696
37.1420226799349,50.3065039813907
37.1318971455159,50.3136306980163
37.1349655764233,50.306404461686
37.141766737713,50.3064173623885
37.1281557878677,50.3081239410271
37.1318655122075,50.3136694001237
37.1302895983019,50.3181754311942
37.1377809408642,50.3107741139021
37.1373208200158,50.3024660615234
37.1298841168043,50.2966072996529
37.1166786484566,50.2870018051991
37.1350029612422,50.3064615933683
37.1175643810897,50.2877905910061
37.1169115846361,50.2870515650514
37.1439408087215,50.3068467714844
37.134867800743,50.3067251362898
37.1371770322507,50.3089901310488
37.1262779196554,50.3054903547695
37.1390347701759,50.3109215505015
37.1168713240619,50.2869944333691
