cloudCover,offNadirAngle,sunElevation,sunAzimuth,legacyId,city,acquisitionDate,date
0,27.932657,34.87572,165.29314,104005002EDC1A00,KryvyiRih,2021-03-04 09:09:04,mar_2021_04
"0.0038292266,0.0,0.0","12.897446,9.962343,17.820263","24.301659,24.29201,24.370352","163.08478,163.21164,162.95091","104005001EDC6E00,104005001EDC6D00,104005001EDC6F00",KryvyiRih,"2020-02-04 08:56:02,2020-02-04 08:55:48,2020-02-04 08:56:16",feb_2020_04
0,29.58126,30.343683,163.86511,104005003DDCE100,KryvyiRih,2022-02-21 09:02:54,feb_2022_21
"0.00012573968,0.0","14.967687,6.6555977","36.961056,37.035763","166.9604,166.94925","1040050039DC2B00,1040050039DC2C00",KryvyiRih,"2021-10-04 08:53:32,2021-10-04 08:53:50",b_s1
0,28.80486,52.560616,161.65889,1030050087F93F00,KryvyiRih,2019-04-20 09:01:26,apr_2019_20
"0.00012573968,0.0","14.967687,6.6555977","36.961056,37.035763","166.9604,166.94925","1040050039DC2B00,1040050039DC2C00",KryvyiRih,"2021-10-04 08:53:32,2021-10-04 08:53:50",oct_2021_04
0,37.23901,56.49079,172.34906,1040050018DBF800,KryvyiRih,2019-08-14 09:33:48,aug_2019_14
0,27.932657,34.87572,165.29314,104005002EDC1A00,KryvyiRih,2021-03-04 09:09:04,b_s2
"0.006011127,0.0267936","15.931727,19.48139","20.853704,20.830303","169.03354,168.88931","103001008B6BE100,1030010089A03E00",KryvyiRih,"2019-01-20 09:12:47,2019-01-20 09:13:05",jan_2019_20
"0,0,0","9.645583,16.552713,2.4414847","55.33064,55.397755,55.26374","158.2344,158.6803,157.78758","103005009EF9A500,103005009EF9A600,103005009EF9A400",KryvyiRih,"2020-04-29 08:53:28,2020-04-29 08:53:42,2020-04-29 08:53:14",apr_2020_29
"0.00030481318,0.0053507625,0.0","14.366858,15.08955,25.109516","63.056625,63.041187,63.07708","153.21112,153.02588,153.30122","1040050016DC3300,1040050016DC3400,1040050016DC3200",KryvyiRih,"2019-07-05 08:59:29,2019-07-05 08:59:48,2019-07-05 08:59:01",jul_2019_05
0.00038975745,12.888782,29.592752,171.34871,10300500AAF91C00,KryvyiRih,2020-10-25 08:58:30,oct_2020_25
0.000507076,6.557502,44.227303,160.40349,10500100235D8900,Chernivtsi,2021-03-30 09:24:26,mar_2021_30
"0,0","20.544271,29.663223","31.660591,31.635544","161.93343,161.77408","10300500AFF8A100,10300500AFF8A200",Chernivtsi,"2021-02-26 09:26:44,2021-02-26 09:27:10",feb_2021_26
"0,0","20.823343,24.136591","55.56059,55.50669","153.5658,153.27539","10300500BBF8F600,10300500BBF8F700",Chernivtsi,"2021-08-08 09:20:53,2021-08-08 09:21:02",aug_2021_08
0,28.534899,38.755745,159.72984,10300100B1312A00,Chernivtsi,2020-09-25 09:05:14,sep_2020_25
0.023018375,33.877155,60.309616,157.38116,10300100D36AE300,Chernivtsi,2022-05-20 09:25:58,may_2022_20
"0.046353303,0.015234913","14.271411,10.061524","34.848648,34.827583","170.56929,170.37505","103001009B237400,103001009CD76800",Chernivtsi,"2019-10-10 09:31:52,2019-10-10 09:32:02",oct_2019_10
