"Longitude","Latitude"
33.120709892312,48.6519518018382
33.1188487535751,48.6604476074144
33.1154519211263,48.6770210603669
33.1296392901864,48.6705171266459
33.1204895389097,48.6717828420572
33.1189470650931,48.6604610963886
33.1128653111878,48.65723947972
33.1207776933589,48.6513268127009
33.114000978723,48.6543168686459
33.0830159002978,48.6633971964369
33.1184555075032,48.6648764872729
33.1188216331564,48.6606319567283
33.090504525926,48.6663422891346
33.1296935310239,48.670332777332
33.1208726148246,48.6503308767733
33.1107058478446,48.6775786046334
33.1465115807031,48.612071649651
33.1181334525305,48.6646584155235
33.1134823007144,48.6551464405585
33.1358803765519,48.6250705244436
33.1350904943558,48.6545799036426
33.1217879289575,48.6665873388324
33.1169808347335,48.6682442344952
33.1122449316088,48.660463344551
33.1208454944058,48.6370914486076
33.1239812928241,48.7016069639872
33.1137772352683,48.6551059736359
33.0826328243829,48.6638535733969
33.1163197745264,48.6734284969081
33.1126042771573,48.6594808975976
33.0480102197925,48.6554229645293
33.110729578211,48.6774774373269
33.1185097483407,48.6636557351088
33.1120211881541,48.661468273128
33.1262288975283,48.6774482112162
33.1311275231655,48.6831473028107
33.1122144211377,48.6615941702204
33.1237473792124,48.6719671913711
33.1230252980631,48.6806046311762
33.0889688322141,48.6956515818831
33.1111499447016,48.6585996179506
33.1083972221982,48.6741569015143
33.1202522352456,48.672176270471
33.1204488582815,48.6715917482562
33.1216862273871,48.6669762709215
33.1103905729766,48.6758902346975
33.0903858740939,48.6584804653453
33.1129297221823,48.656949466775
33.1421214629175,48.6594561678116
33.1337988844127,48.6945005227524
33.1297070912333,48.6704272001513
