"Longitude","Latitude"
23.5933741956654,50.2670620550901
23.5935880288039,50.266931695272
23.5934372939686,50.2670283413441
23.5935389523459,50.2669272001058
23.5933110973623,50.2671002640023
23.5949972242412,50.2687072858983
23.5931182969915,50.2671744342437
23.579471536202,50.2730608543074
23.588284265877,50.2756253465918
23.5895847920144,50.2773627283059
23.5972792795389,50.2648684140125
23.5929360130046,50.2672710803158
23.564681995033,50.2662664106829
23.5618040113166,50.2617105597974
23.5868715649784,50.2763805345037
