"City","Date","Npop_img","Npop_aoi","Proportion","Pop_threshold"
"Alchevsk","apr_2021_25",8725.1796875,105562.390625,0.0826542449052271,"Below"
"Alchevsk","apr_2022_27",91231.90625,105562.390625,0.864246306945552,"Above"
"Alchevsk","aug_2019_24",105720.9453125,105562.390625,1.00150199978005,"Above"
"Alchevsk","aug_2020_23",3235.1083984375,105562.390625,0.0306464108977022,"Below"
"Alchevsk","aug_2021_07",103711.3125,105562.390625,0.982464605869189,"Above"
"Alchevsk","aug_2021_09",45039.10546875,105562.390625,0.426658634785442,"Below"
"Alchevsk","aug_2021_25",6010.71435546875,105562.390625,0.0569399226360951,"Below"
"Alchevsk","dec_2019_02",103330.40625,105562.390625,0.978856253995527,"Above"
"Alchevsk","dec_2019_16",106201.390625,105562.390625,1.00605329223994,"Above"
"Alchevsk","dec_2021_20",106200.1796875,105562.390625,1.00604182094327,"Above"
"Alchevsk","dec_2021_22",87017.0078125,105562.390625,0.824318275640605,"Above"
"Alchevsk","feb_2020_10",96875.4375,105562.390625,0.917707878027701,"Above"
"Alchevsk","feb_2021_23",53794.3671875,105562.390625,0.509597848902449,"Above"
"Alchevsk","feb_2022_13",591.751647949219,105562.390625,0.0056057052558743,"Below"
"Alchevsk","jan_2022_08",56967.75390625,105562.390625,0.539659565958698,"Above"
"Alchevsk","jan_2022_21",10224.55078125,105562.390625,0.0968578934288416,"Below"
"Alchevsk","jul_2019_03",61476.3203125,105562.390625,0.582369534722727,"Above"
"Alchevsk","jul_2019_28",94197.796875,105562.390625,0.892342398815392,"Above"
"Alchevsk","jul_2019_29",581.390502929688,105562.390625,0.00550755339555562,"Below"
"Alchevsk","jul_2020_26",105596.75,105562.390625,1.00032548879195,"Above"
"Alchevsk","jul_2021_02",2574.90551757812,105562.390625,0.0243922622662575,"Below"
"Alchevsk","jul_2021_10",36866.46484375,105562.390625,0.349238631537955,"Below"
"Alchevsk","jul_2021_12",88803.3984375,105562.390625,0.841240880504169,"Above"
"Alchevsk","jul_2021_27",74980.171875,105562.390625,0.710292476620387,"Above"
"Alchevsk","jul_2022_15",1339.943359375,105562.390625,0.0126933783087105,"Below"
"Alchevsk","jun_2021_27",64251.81640625,105562.390625,0.608662005718478,"Above"
"Alchevsk","jun_2021_30",54581.03125,105562.390625,0.517049973260778,"Above"
"Alchevsk","jun_2022_12",103376.578125,105562.390625,0.979293643436279,"Above"
"Alchevsk","mar_2019_05",12783.3447265625,105562.390625,0.121097529630359,"Below"
"Alchevsk","mar_2019_14",103221.171875,105562.390625,0.977821469027573,"Above"
"Alchevsk","may_2019_29",106201.390625,105562.390625,1.00605329223994,"Above"
"Alchevsk","may_2021_29",57619.91015625,105562.390625,0.545837488286326,"Above"
"Alchevsk","may_2021_31",55582.3046875,105562.390625,0.526535107422403,"Above"
"Alchevsk","may_2022_06",104195.703125,105562.390625,0.987053272553716,"Above"
"Alchevsk","nov_2021_07",86719.71875,105562.390625,0.821502035304063,"Above"
