"Image","legacyId","City","Oblast","Raion","Date","acquisitionDate","DateTime","Year","Month","Day","Hour","WeekDay","AOI_area_sqkm","AOI_area_covered_sqkm","AOI_area_covered_perc","Perc_area_covered_by_feature","N_features_in_img","Selection_reason","Image_resolution","cloudCover","offNadirAngle","sunElevation","sunAzimuth","Npop_aoi","Npop_img","Proportion","Pop_threshold","Ncars"
"Bila-Tserkva_aug_2020_26","1040050028DC6D00","Bila-Tserkva","Kiev","Bilotserkivska","aug_2020_26","2020-08-26 09:16:09",2020-08-26 09:16:09,2020,8,26,9,"Wednesday",129.059556,100.6929276,0.780205129,"0.78",1,"Urban area 2",0.3,0.06427159,22.69771,49.45182,162.70956,226356.6875,219181.234375,0.968300237981703,"Above",7250
"Bila-Tserkva_aug_2022_28","10300100D8094400","Bila-Tserkva","Kiev","Bilotserkivska","aug_2022_28","2022-08-28 09:39:51",2022-08-28 09:39:51,2022,8,28,9,"Sunday",129.059556,129.059556,1,"1",1,"Urban area 2",0.5,0.015810633,32.040474,49.813534,171.9595,226356.6875,227083.296875,1.00321001947424,"Above",1407
"Bila-Tserkva_aug_2022_30","1040050047DC9000","Bila-Tserkva","Kiev","Bilotserkivska","aug_2022_30","2022-08-30 09:16:44",2022-08-30 09:16:44,2022,8,30,9,"Tuesday",129.059556,123.0360667,0.953327831,"0.953",1,"Urban area 2",0.3,0.0052445084,26.77687,48.346684,163.73396,226356.6875,224762.09375,0.992955393685906,"Above",8353
"Bila-Tserkva_jan_2019_25","104001004643F800","Bila-Tserkva","Kiev","Bilotserkivska","jan_2019_25","2019-01-25 09:36:37",2019-01-25 09:36:37,2019,1,25,9,"Friday",129.059556,65.96741673,0.511139343,"0.511",1,"Urban area 2",0.3,0,16.83618,21.254143,171.01999,226356.6875,119522.90625,0.528029048180872,"Above",173
"Bila-Tserkva_jul_2022_06","1050050024DE9500","Bila-Tserkva","Kiev","Bilotserkivska","jul_2022_06","2022-07-06 09:07:29",2022-07-06 09:07:29,2022,7,6,9,"Wednesday",129.059556,117.7908899,0.912686309,"0.913",1,"Urban area 2",0.4,0.029589878,23.615406,60.85371,152.36505,226356.6875,224078.78125,0.989936651418792,"Above",5202
"Bila-Tserkva_jun_2019_18","1040050015DC8200","Bila-Tserkva","Kiev","Bilotserkivska","jun_2019_18","2019-06-18 09:28:02",2019-06-18 09:28:02,2019,6,18,9,"Tuesday",129.059556,104.9935727,0.813528079,"0.814",1,"Urban area 2",0.3,0.009143073,7.41768,63.029896,163.41241,226356.6875,222522.84375,0.983062820929468,"Above",7334
"Bila-Tserkva_jun_2022_30","10300100D43CA400","Bila-Tserkva","Kiev","Bilotserkivska","jun_2022_30","2022-06-30 09:14:39",2022-06-30 09:14:39,2022,6,30,9,"Thursday",129.059556,73.95556816,0.573034423,"0.573",1,"Urban area 2",0.5,0.17304198,27.353033,61.814445,155.76703,226356.6875,177352.828125,0.783510441347133,"Above",834
"Bila-Tserkva_mar_2019_03","1040050010DC9B00","Bila-Tserkva","Kiev","Bilotserkivska","mar_2019_03","2019-03-03 09:27:02",2019-03-03 09:27:02,2019,3,3,9,"Sunday",129.059556,121.5336914,0.941686886,"0.942",1,"Urban area 2",0.3,0.0077166334,27.592197,32.71741,166.80763,226356.6875,224797.484375,0.993111742611978,"Above",3235
"Bila-Tserkva_mar_2021_30","104005002FDC4E00","Bila-Tserkva","Kiev","Bilotserkivska","mar_2021_30","2021-03-30 09:16:26",2021-03-30 09:16:26,2021,3,30,9,"Tuesday",129.059556,123.9066546,0.960073461,"0.96",1,"Urban area 2",0.3,0.0006209407,22.107347,43.229332,163.61935,226356.6875,225074.234375,0.9943343705054,"Above",7267
"Bila-Tserkva_may_2022_12","10300100D2BD1000","Bila-Tserkva","Kiev","Bilotserkivska","may_2022_12","2022-05-12 09:18:23",2022-05-12 09:18:23,2022,5,12,9,"Thursday",129.059556,128.5413303,0.9959846,"0.996",1,"Urban area 2",0.4,0.06270084,15.205213,57.67595,163.10579,226356.6875,227072.359375,1.00316169971784,"Above",4292
